idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
010007N4KR,"Votorantim",SP,100.00,90.00,,,""
010007NF0A,"Votorantim",SP,100.00,90.00,,,""
010007NH4E,"Votorantim",SP,100.00,90.00,,,""
010007NKDD,"Votorantim",SP,100.00,90.00,,,""
010007NW1T,"Votorantim",SP,100.00,90.00,,,""
010007O10R,"Votorantim",SP,100.00,90.00,,,""
010007OF8F,"Votorantim",SP,100.00,90.00,,,""
010007OV7K,"Votorantim",SP,100.00,90.00,,,""
010007P62F,"Votorantim",SP,100.00,90.00,,,""
010007PQ94,"Votorantim",SP,100.00,90.00,,,""
010007PR78,"Votorantim",SP,100.00,90.00,,,""
010007PT7G,"Votorantim",SP,100.00,90.00,,,""
